Sex,Gender,Age,Ethnicity,Age Group,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,42,2,6,5472,5863,5422,6069,7235,6590,5372,8675,3848,5664,5972,4845,8879,8775,6234,6728,4423,6069,7385,8783,11052,10755
1,Male,43,2,6,4839,5473,5864,5420,6067,7231,6586,5369,8670,3845,5661,5968,4843,8874,8770,6230,6725,4421,6066,7382,8779,11047
1,Male,44,2,6,4316,4841,5475,5864,5420,6065,7228,6583,5367,8667,3844,5659,5966,4841,8871,8767,6227,6722,4420,6064,7380,8777
1,Male,45,2,7,6544,4318,4842,5475,5864,5418,6062,7225,6581,5364,8663,3842,5656,5964,4839,8867,8763,6225,6720,4418,6062,7378
1,Male,46,2,7,4145,6543,4317,4840,5473,5861,5414,6057,7219,6576,5360,8657,3839,5652,5960,4835,8861,8757,6220,6715,4416,6058
1,Male,47,2,7,3664,4144,6540,4315,4838,5470,5857,5409,6052,7213,6571,5356,8651,3836,5648,5956,4832,8855,8751,6216,6711,4413
1,Male,48,2,7,3618,3662,4141,6536,4311,4834,5465,5851,5404,6046,7206,6564,5351,8643,3833,5643,5951,4827,8847,8743,6211,6705
1,Male,49,2,7,2827,3615,3659,4137,6530,4307,4829,5460,5846,5399,6040,7199,6558,5346,8635,3829,5638,5946,4823,8840,8736,6205
1,Male,50,2,7,2205,2825,3612,3655,4133,6524,4303,4825,5455,5841,5394,6034,7192,6552,5342,8628,3826,5633,5941,4819,8832,8729
1,Male,51,2,7,3320,2202,2821,3607,3650,4128,6515,4297,4818,5449,5834,5387,6026,7183,6544,5335,8618,3821,5626,5934,4814,8823
1,Male,52,2,7,2758,3314,2199,2816,3600,3643,4120,6504,4290,4811,5441,5825,5378,6017,7172,6534,5327,8606,3816,5619,5926,4807
1,Male,53,2,7,4019,2753,3308,2194,2811,3593,3636,4113,6492,4283,4803,5432,5817,5370,6007,7161,6525,5320,8593,3810,5611,5918
1,Male,54,2,7,4907,4010,2747,3300,2189,2804,3584,3628,4103,6479,4274,4794,5422,5806,5360,5995,7147,6513,5310,8578,3804,5601
1,Male,55,2,8,2829,4892,3998,2738,3290,2183,2796,3574,3617,4092,6462,4263,4782,5409,5792,5346,5981,7130,6497,5298,8559,3795
1,Male,56,2,8,1451,2819,4874,3983,2728,3278,2175,2786,3561,3605,4078,6440,4250,4767,5392,5774,5330,5962,7109,6478,5282,8535
1,Male,57,2,8,1430,1444,2807,4853,3966,2717,3265,2166,2775,3547,3591,4063,6417,4234,4750,5373,5754,5312,5942,7085,6457,5265
1,Male,58,2,8,1270,1423,1437,2793,4829,3947,2704,3249,2156,2762,3531,3575,4045,6390,4217,4730,5352,5732,5291,5919,7058,6432
1,Male,59,2,8,1499,1263,1415,1429,2777,4803,3925,2689,3232,2144,2748,3513,3557,4025,6359,4197,4708,5327,5705,5267,5892,7026
1,Male,60,2,8,3099,1490,1256,1406,1421,2761,4774,3902,2674,3213,2132,2733,3494,3538,4004,6326,4175,4685,5301,5678,5242,5864
1,Male,61,2,8,990,3079,1480,1247,1397,1411,2743,4743,3878,2657,3194,2119,2717,3473,3518,3982,6291,4153,4660,5273,5649,5215
1,Male,62,2,8,679,982,3056,1469,1238,1387,1401,2723,4710,3851,2639,3172,2105,2699,3451,3495,3957,6253,4128,4633,5243,5617
1,Male,63,2,8,333,674,974,3032,1458,1229,1376,1391,2703,4675,3823,2620,3150,2091,2680,3428,3472,3931,6213,4102,4604,5211
1,Male,64,2,8,786,330,668,966,3006,1445,1218,1364,1379,2680,4637,3792,2599,3125,2075,2660,3402,3447,3903,6169,4074,4573
1,Male,65,2,8,1552,778,327,661,957,2977,1431,1206,1351,1366,2656,4595,3758,2576,3098,2057,2638,3374,3418,3871,6120,4042
1,Male,66,2,8,73,1535,770,323,654,946,2945,1416,1194,1337,1352,2629,4549,3721,2551,3068,2037,2613,3343,3387,3837,6066
1,Male,67,2,9,69,72,1517,761,319,646,935,2911,1400,1180,1323,1337,2600,4500,3682,2524,3037,2017,2587,3310,3354,3800
1,Male,68,2,9,168,68,71,1497,751,315,638,923,2874,1383,1166,1307,1321,2570,4448,3640,2496,3003,1995,2559,3274,3319
1,Male,69,2,9,631,166,67,70,1475,740,311,629,911,2835,1364,1150,1289,1304,2537,4391,3594,2465,2966,1971,2529,3236
1,Male,70,2,9,314,621,163,66,69,1452,728,306,619,897,2792,1344,1133,1271,1285,2501,4330,3545,2431,2927,1944,2496
